pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,17.693948300089687,18.69227509992197,18.69227509992197,18.69227509992197,18.69227509992197,18.709477100055665,19.6931615001522,19.6931615001522,x,1,1.3776704999618232,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,0,1,1,1,,,,,21.093132900074124,22.093543900176883,22.093543900176883,22.093543900176883,22.093543900176883,22.093543900176883,23.094417000189424,23.094417000189424,v,1,1.1002127001993358,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,0,2,2,2,,,,,24.21090180007741,25.211886799894273,25.211886799894273,25.211886799894273,25.211886799894273,25.211886799894273,26.212253999896348,26.212253999896348,c,1,1.3631243999116123,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,0,3,3,3,,,,,27.59550949977711,28.596025600098073,28.596025600098073,28.596025600098073,28.596025600098073,28.596025600098073,29.596873600035906,29.596873600035906,z,1,0.5704763000831008,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,1,0,4,0,,,,,30.19710909994319,31.19686059979722,31.19686059979722,31.19686059979722,31.19686059979722,31.19686059979722,32.18053520005196,32.18053520005196,x,1,0.7829277999699116,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,1,1,5,1,,,,,32.981100199744105,33.98186459997669,33.98186459997669,33.98186459997669,33.98186459997669,33.98186459997669,34.982253999914974,34.982253999914974,v,1,0.5665490999817848,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,1,2,6,2,,,,,35.56579570006579,36.56582510005683,36.56582510005683,36.56582510005683,36.56582510005683,36.56582510005683,37.56619550008327,37.56619550008327,c,1,0.5958111002109945,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,1,3,7,3,,,,,38.18345839995891,39.183461899869144,39.183461899869144,39.183461899869144,39.183461899869144,39.183461899869144,40.18361030006781,40.18361030006781,z,1,0.4877386000007391,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,2,0,8,0,,,,,40.70108069991693,41.70145760010928,41.70145760010928,41.70145760010928,41.70145760010928,41.70145760010928,42.68465750012547,42.68465750012547,c,0,0.6757282000035048,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,2,1,9,1,,,,,43.3848565001972,44.38523390004411,44.38523390004411,44.38523390004411,44.38523390004411,44.38523390004411,45.38619549991563,45.38619549991563,v,1,0.9580108001828194,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,2,2,10,2,,,,,46.36990279983729,47.35357209993526,47.35357209993526,47.35357209993526,47.35357209993526,47.36983529990539,48.35363829974085,48.35363829974085,c,1,1.0535303000360727,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,2,3,11,3,,,,,49.43729289993644,50.4380983998999,50.4380983998999,50.4380983998999,50.4380983998999,50.4380983998999,51.42180350003764,51.42180350003764,z,1,0.5349162998609245,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,3,0,12,0,,,,,51.98808090016246,52.97191799990833,52.97191799990833,52.97191799990833,52.97191799990833,52.988560599740595,53.97277020011097,53.97277020011097,x,1,0.8335556001402438,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,3,1,13,1,,,,,54.83977170009166,55.840168700087816,55.840168700087816,55.840168700087816,55.840168700087816,55.840168700087816,56.840525299776345,56.840525299776345,v,1,0.6355526000261307,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,3,2,14,2,,,,,57.50684309983626,58.50733170006424,58.50733170006424,58.50733170006424,58.50733170006424,58.50733170006424,59.507717799860984,59.507717799860984,c,1,1.292515099979937,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,3,3,15,3,,,,,60.824784900061786,61.825336299836636,61.825336299836636,61.825336299836636,61.825336299836636,61.825336299836636,62.826120799873024,62.826120799873024,z,1,0.5062739001587033,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,4,0,16,0,,,,,63.35964999999851,64.35932909976691,64.35932909976691,64.35932909976691,64.35932909976691,64.35932909976691,65.36018100008368,65.36018100008368,x,1,0.5124130002222955,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,4,1,17,1,,,,,65.89395029982552,66.89387129992247,66.89387129992247,66.89387129992247,66.89387129992247,66.89387129992247,67.89470349997282,67.89470349997282,v,1,1.3571124002337456,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
